"TOA5","Coopevega","CR200X","18977","CR200X.Std.04","CVG15062021.CR2","54234","Diarios"
"TIMESTAMP","RECORD","ESTACION","TEMP_C_Max","TEMP_C_TMx","RH_Max","RH_TMx","TEMP_C_Min","TEMP_C_TMn","RH_Min","RH_TMn","Acum5_Max","Acum10_Max","Acum15_Max","Acum30_Max","LLUV_mm_Tot","Acum60_Max","Acum120_Max"
"TS","RN","","Deg C","Deg C","%","%","Deg C","Deg C","%","%","mm","mm","mm","mm","mm","mm","mm"
"","","Smp","Max","TMx","Max","TMx","Min","TMn","Min","TMn","Max","Max","Max","Max","Tot","Max","Max"
"2022-07-06 07:00:00",385,69739,29.3987,"2022-07-05 13:06:18",100,"2022-07-05 07:00:21",22.21616,"2022-07-05 07:01:24",76.41336,"2022-07-05 13:08:00",13,20.8,24,24,27.40003,24.39999,25.59999
"2022-07-07 07:00:00",386,69739,29.33155,"2022-07-06 10:45:48",100,"2022-07-06 07:00:09",21.67281,"2022-07-06 12:14:54",72.87856,"2022-07-06 10:52:42",1,1.6,2,2.4,6.799998,3,3.2
"2022-07-08 07:00:00",387,69739,30.03667,"2022-07-07 12:09:06",100,"2022-07-07 22:37:57",20.88527,"2022-07-08 02:32:51",67.80071,"2022-07-07 12:12:12",0.8,0.8,0.8,1,1.4,1,1.2
"2022-07-09 07:00:00",388,69739,29.13314,"2022-07-08 12:04:39",100,"2022-07-08 13:22:30",22.07269,"2022-07-09 05:35:39",71.78271,"2022-07-08 12:04:54",7.000001,12.8,17.6,29.8,43.60008,38.4,41.8
"2022-07-10 07:00:00",389,69739,29.81842,"2022-07-09 10:21:39",100,"2022-07-09 18:07:45",21.6026,"2022-07-10 05:15:48",70.72349,"2022-07-09 11:16:33",2.6,4,6.400001,7.4,23.00001,7.8,11
"2022-07-11 07:00:00",390,69739,30.50066,"2022-07-10 12:43:48",100,"2022-07-10 07:00:21",21.91396,"2022-07-11 02:31:12",64.41091,"2022-07-10 12:36:45",1,1.4,1.8,1.8,5.399999,2.2,2.2
"2022-07-12 07:00:00",391,69739,29.69938,"2022-07-11 14:11:24",100,"2022-07-11 07:00:45",22.06201,"2022-07-12 00:27:06",72.26043,"2022-07-11 12:25:09",2.6,3.2,3.2,3.6,5.799999,3.8,3.8
"2022-07-13 07:00:00",392,69739,25.61054,"2022-07-12 15:42:18",100,"2022-07-12 07:00:12",21.88801,"2022-07-13 04:51:27",84.69633,"2022-07-12 15:45:09",1.2,1.4,1.6,3,9.999996,5.2,7.4
"2022-07-14 07:00:00",393,69739,29.94509,"2022-07-13 14:29:18",100,"2022-07-13 07:00:27",21.38129,"2022-07-14 05:30:15",66.7247,"2022-07-13 14:25:39",5.4,6.4,8.4,8.8,17.8,9,9.2
"2022-07-15 07:00:00",394,69739,29.96188,"2022-07-14 12:13:42",100,"2022-07-14 07:00:45",21.82086,"2022-07-14 07:05:15",68.1426,"2022-07-14 12:11:03",0.8,1,1.2,2,3.600001,2.8,2.8
"2022-07-16 07:00:00",395,69739,29.48264,"2022-07-15 12:13:51",100,"2022-07-15 21:40:09",21.32635,"2022-07-16 05:27:00",70.06567,"2022-07-15 10:45:48",2,3.2,3.2,3.4,7.599997,3.4,3.4
"2022-07-17 07:00:00",396,69739,29.72684,"2022-07-16 14:32:39",100,"2022-07-16 23:49:21",20.76622,"2022-07-17 04:03:51",64.93136,"2022-07-16 13:57:48",1.4,1.6,1.6,1.6,4.4,3.4,3.4
"2022-07-18 07:00:00",397,69739,29.85352,"2022-07-17 14:04:36",100,"2022-07-17 07:00:12",22.55346,"2022-07-18 04:43:03",62.59314,"2022-07-17 13:59:51",4.2,7.4,9.2,12.4,15.59999,13.2,13.4
